Rk,School_trim,Games,Wins,Losses,Win%,SimpleRatingSystem,StrengthOfSchedule,W_conf,L_conf,W_home,L_home,W_away,L_away,Points_made,Points_allowed.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OER,DER,PosPG,TotPos
230,Oregon,33,19,14,0.576,13.54,9.93,12,8,13,5,4,6,2332,2213,1325,842,1874,0.449,233,731,0.319,415,585,0.709,365,1223,435,187,158,401,487,108.7686567,103.2182836,64.96969697,2144
231,Oregon State,32,11,21,0.344,0.46,6.98,5,15,10,7,1,10,1959,2144,1280,676,1647,0.41,192,605,0.317,415,551,0.753,254,996,326,172,98,429,570,95.91656874,104.9745398,63.825,2042.4
232,Pacific,33,15,18,0.455,-0.07,2.54,7,9,7,10,7,7,2502,2565,1330,868,1920,0.452,297,761,0.39,469,651,0.72,267,1044,419,179,85,389,628,108.6692147,111.4054899,69.76969697,2302.4
233,Penn State NCAA,35,22,13,0.629,12.77,8.86,10,10,13,4,4,7,2531,2394,1425,926,1995,0.464,364,945,0.385,315,427,0.738,210,1140,488,153,77,315,549,111.4585168,105.4254007,64.88,2270.8
234,Pennsylvania,30,17,13,0.567,0.67,-1.3,9,5,11,4,6,9,2249,2160,1220,812,1749,0.464,244,678,0.36,381,514,0.741,304,1128,444,166,96,382,543,110.6464627,106.2678343,67.75333333,2032.6
235,Pepperdine,31,9,22,0.29,0.37,5.2,2,14,8,8,0,12,2417,2520,1260,898,1930,0.465,253,699,0.362,368,518,0.71,286,1109,469,168,117,436,548,105.6750612,110.1783841,73.78064516,2287.2
236,Pittsburgh NCAA,33,22,11,0.667,9.93,4.29,14,6,14,3,7,5,2512,2326,1320,868,1916,0.453,304,845,0.36,472,620,0.761,341,1193,475,170,134,369,536,114.5985401,106.1131387,66.42424242,2192
237,Portland,33,14,19,0.424,2.13,4.58,5,11,10,7,2,10,2566,2594,1330,836,1837,0.455,317,845,0.375,577,774,0.745,268,1082,488,164,75,420,579,111.633168,112.8513008,69.65454545,2298.6
238,Portland State,31,12,19,0.387,-4.84,-0.26,6,11,6,7,5,9,2363,2340,1240,835,1865,0.448,234,688,0.34,459,631,0.727,289,974,431,220,105,375,700,107.2433512,106.1995098,71.07741935,2203.4
239,Prairie View,33,13,20,0.394,-8.81,-6.49,9,10,9,4,4,14,2226,2256,1345,791,1971,0.401,194,647,0.3,450,652,0.69,390,1170,359,245,121,451,624,97.08653175,98.39497558,69.47878788,2292.8
240,Presbyterian,32,5,27,0.156,-13.59,-5.06,1,17,5,9,0,15,2021,2223,1294,718,1709,0.42,191,616,0.31,394,630,0.625,336,1048,344,176,98,430,617,98.34549878,108.1751825,64.21875,2055
241,Princeton NCAA,29,21,8,0.724,3.1,-2.97,10,4,11,3,8,4,2204,1988,1175,784,1715,0.457,247,717,0.344,389,546,0.712,295,1140,392,143,96,360,471,110.2882306,99.47958367,68.91034483,1998.4
242,Providence NCAA,32,21,11,0.656,12.86,6.08,13,7,15,2,6,6,2499,2282,1305,880,1917,0.459,213,606,0.351,526,706,0.745,392,1226,470,221,146,377,479,114.4021242,104.4680461,68.2625,2184.4
243,Purdue NCAA,34,29,5,0.853,19.4,9.04,15,5,14,2,8,3,2485,2133,1365,865,1883,0.459,234,717,0.326,521,701,0.743,415,1312,527,163,123,372,466,117.1948689,100.5942275,62.36470588,2120.4
244,Purdue-Fort Wayne,32,17,15,0.531,-5.21,-4.71,9,11,9,6,7,8,2364,2234,1286,836,1906,0.439,308,891,0.346,384,545,0.705,318,1139,418,235,74,421,467,106.1517737,100.3143242,69.59375,2227
245,Queens (NC),33,18,15,0.545,-4.22,-4.32,7,11,8,5,7,10,2564,2463,1320,878,1977,0.444,305,873,0.349,503,698,0.721,371,1232,456,204,72,411,531,111.6627471,107.2641756,69.58181818,2296.2
246,Quinnipiac,32,20,12,0.625,-2.41,-5.19,11,9,9,4,9,6,2335,2231,1295,826,1908,0.433,263,725,0.363,420,630,0.667,365,1197,419,196,82,404,525,106.1846294,101.4552069,68.71875,2199
247,Radford,33,19,14,0.576,-2.45,-4.48,12,6,10,3,7,10,2301,2142,1320,849,1841,0.461,220,610,0.361,383,555,0.69,336,1103,390,235,97,392,561,108.5889571,101.0854176,64.21212121,2119
248,Rhode Island,31,9,22,0.29,-4,0.65,5,13,7,9,1,10,2046,2190,1255,696,1765,0.394,168,553,0.304,486,653,0.744,363,1148,347,199,119,437,557,97.4192934,104.2757833,67.7483871,2100.2
249,Rice,33,18,15,0.545,-2.75,0.95,8,12,11,7,6,7,2530,2521,1340,895,1914,0.468,296,829,0.357,444,602,0.738,265,1145,508,190,81,434,509,108.873397,108.4861004,70.41818182,2323.8
250,Richmond,33,15,18,0.455,1.58,0.49,7,11,12,4,1,11,2273,2237,1340,786,1791,0.439,261,790,0.33,440,591,0.745,226,1067,402,189,78,380,499,104.1991382,102.5488219,66.1030303,2181.4
251,Rider,30,16,14,0.533,-3.41,-4.83,13,7,8,5,8,6,2105,2027,1215,793,1746,0.454,150,449,0.334,369,502,0.735,339,1085,341,161,67,345,548,107.7939369,103.7996723,65.09333333,1952.8
252,Robert Morris,33,16,17,0.485,-5.62,-5.36,10,10,11,4,5,10,2287,2205,1325,844,1904,0.443,235,703,0.334,364,505,0.721,337,1145,457,220,135,432,533,103.9073149,100.1817356,66.6969697,2201
253,Rutgers,33,19,14,0.576,15.04,7.49,10,10,14,5,4,7,2240,1991,1325,832,1943,0.428,187,588,0.318,389,554,0.702,381,1221,494,290,128,378,529,103.626943,92.107698,65.5030303,2161.6
254,Sacramento State,32,14,18,0.438,-4.33,-1.29,7,11,9,4,5,10,2114,2169,1305,778,1751,0.444,217,629,0.345,341,489,0.697,348,1141,436,143,85,427,497,104.364139,107.0793839,63.3,2025.6
255,Sacred Heart,33,16,17,0.485,-13.19,-11.32,8,8,9,6,7,11,2332,2351,1330,864,2002,0.432,229,731,0.313,375,553,0.678,349,1180,444,259,108,438,502,100.8563273,101.6780555,70.06666667,2312.2
256,Saint Francis (PA),31,13,18,0.419,-13.92,-9.78,9,7,10,5,3,13,2263,2286,1245,813,1760,0.462,240,633,0.379,397,564,0.704,265,1037,430,137,64,391,510,107.1699185,108.25914,68.11612903,2111.6
257,Saint Joseph's,33,16,17,0.485,-0.24,-0.2,8,10,10,6,4,7,2388,2389,1330,818,1920,0.426,290,882,0.329,462,657,0.703,342,1142,399,216,107,421,578,105.5796268,105.6238394,68.53939394,2261.8
258,Saint Louis,33,21,12,0.636,6.32,3.13,12,6,15,3,4,7,2493,2348,1320,921,1970,0.468,230,645,0.357,421,576,0.731,335,1254,543,166,132,399,558,110.0953895,103.6919272,68.61818182,2264.4
259,Saint Mary's (CA) NCAA,33,26,7,0.788,18.07,7.1,14,2,16,2,6,2,2355,1984,1335,849,1854,0.458,256,689,0.372,401,579,0.693,357,1177,414,225,115,352,547,113.1885033,95.35710853,63.04848485,2080.6
260,Saint Peter's,32,14,18,0.438,-9.93,-5.29,7,13,8,6,4,11,1986,2083,1290,716,1830,0.391,190,648,0.293,364,528,0.689,433,1119,336,200,102,393,681,99.24045573,104.0875475,62.5375,2001.2
261,Sam Houston State,32,25,7,0.781,7.9,0.75,14,4,12,1,10,5,2341,1884,1290,848,1849,0.459,265,689,0.385,380,558,0.681,372,1188,441,270,70,423,580,110.258101,88.73398644,66.35,2123.2
262,Samford,32,21,11,0.656,0.66,-4.2,15,3,13,3,8,7,2519,2290,1300,832,1833,0.454,290,822,0.353,565,756,0.747,319,1137,374,260,83,405,598,113.3969569,103.0881426,69.41875,2221.4
263,San Diego,31,11,20,0.355,-1.61,3.73,4,12,8,9,3,8,2391,2495,1250,849,1882,0.451,244,691,0.353,449,587,0.765,314,1027,398,207,55,355,547,110.8073037,115.6270275,69.60645161,2157.8
264,San Diego State NCAA,33,27,6,0.818,15.95,8.42,15,3,15,1,8,2,2378,2099,1330,838,1886,0.444,237,671,0.353,465,635,0.732,354,1181,443,233,123,389,532,109.3333333,96.50574713,65.90909091,2175
265,San Francisco,34,20,14,0.588,6.52,4.16,7,9,11,5,5,6,2591,2496,1370,883,1975,0.447,349,966,0.361,476,635,0.75,326,1173,436,230,85,469,629,109.232715,105.227656,69.76470588,2372
266,San Jose State,33,20,13,0.606,5.93,5.71,10,8,12,3,5,8,2228,2199,1335,820,1876,0.437,251,771,0.326,337,501,0.673,394,1250,408,133,138,395,514,107.2494464,105.8534707,62.95151515,2077.4
267,Santa Clara,32,23,9,0.719,9.16,5.48,11,5,14,4,6,3,2482,2355,1295,898,1973,0.455,268,725,0.37,418,594,0.704,341,1229,448,192,122,397,507,109.5032207,103.9001147,70.83125,2266.6
268,Seattle,32,20,12,0.625,1.14,0.9,11,7,12,2,7,7,2303,2209,1285,786,1953,0.402,275,870,0.316,456,635,0.718,359,1186,381,196,99,382,581,103.2735426,99.05829596,69.6875,2230
269,Seton Hall,32,17,15,0.531,11,8.38,10,10,10,6,6,6,2192,2084,1280,762,1725,0.442,186,567,0.328,482,708,0.681,340,1121,389,267,142,448,570,103.5818921,98.47840469,66.13125,2116.2
270,Siena,32,17,15,0.531,-3.39,-4.76,11,9,8,5,7,8,2195,2151,1295,766,1769,0.433,213,611,0.349,450,611,0.736,323,1098,409,182,135,420,547,104.0087187,101.9238059,65.95,2110.4
271,South Alabama,35,19,16,0.543,3.8,-0.26,9,9,10,4,4,10,2483,2282,1405,955,2036,0.469,266,770,0.345,307,447,0.687,242,1143,399,212,151,342,512,107.2662865,98.58303093,66.13714286,2314.8
272,South Carolina,32,11,21,0.344,-1.89,6.4,4,14,7,8,4,8,2059,2324,1300,744,1846,0.403,244,755,0.323,327,495,0.661,378,1091,355,157,84,421,512,98.65836128,111.3560134,65.21875,2087
273,South Carolina State,31,5,26,0.161,-16.57,-3.97,2,12,4,6,1,19,2274,2599,1250,838,1980,0.423,213,671,0.317,385,575,0.67,429,1097,435,224,100,486,637,100.3087781,114.6449052,73.12903226,2267
274,South Carolina Upstate,31,16,15,0.516,-7.64,-4.06,10,8,11,2,4,12,2136,2158,1245,782,1704,0.459,204,597,0.342,368,561,0.656,256,976,369,229,137,414,626,102.3773006,103.4317485,67.30322581,2086.4
275,South Dakota,31,12,19,0.387,-9.43,-2.88,7,11,8,6,2,11,2149,2282,1240,755,1750,0.431,275,706,0.39,364,476,0.765,267,1041,385,138,48,360,540,105.6850595,112.2258287,65.59354839,2033.4
276,South Dakota State,32,19,13,0.594,-1.36,-1.62,13,5,10,2,6,9,2270,2233,1290,812,1805,0.45,246,700,0.351,400,505,0.792,223,1040,341,166,92,371,456,105.3364269,103.6194896,67.34375,2155
277,South Florida,32,14,18,0.438,2.16,2.16,7,11,9,9,4,7,2303,2303,1285,844,1894,0.446,236,703,0.336,379,582,0.651,381,1197,429,207,98,437,568,105.5066887,105.5066887,68.2125,2182.8
278,Southeast Missouri State NCAA,35,19,16,0.543,-7.2,-6.72,10,8,9,4,5,11,2718,2659,1425,931,2134,0.436,278,849,0.327,578,808,0.715,341,1232,480,240,113,459,736,105.5452004,103.2541162,73.57714286,2575.2
279,Southeastern Louisiana,32,18,14,0.563,-7.68,-6.41,12,6,10,4,7,8,2483,2432,1305,889,1942,0.458,248,672,0.369,457,616,0.742,329,1107,453,233,58,390,557,110.3849916,108.1177203,70.29375,2249.4
280,Southern,32,15,17,0.469,-8.21,-6.14,11,7,9,2,5,12,2300,2280,1290,804,1872,0.429,244,737,0.331,448,627,0.715,281,1037,451,278,75,468,639,99.57572084,98.70984501,72.18125,2309.8
281,Southern California NCAA,32,22,10,0.688,13.71,8.18,14,6,15,2,5,5,2329,2152,1285,831,1820,0.457,207,600,0.345,458,616,0.744,302,1128,430,225,165,399,550,107.6546177,99.47305168,67.60625,2163.4
282,Southern Illinois,33,23,10,0.697,1.63,-1.65,14,6,13,2,8,6,2168,2026,1325,769,1716,0.448,259,795,0.326,371,513,0.723,228,1040,459,238,70,414,539,102.8853455,96.14654518,63.85454545,2107.2
283,SIU Edwardsville,33,19,14,0.576,-6.3,-7.36,9,9,9,5,7,8,2463,2353,1320,834,1917,0.435,236,718,0.329,559,767,0.729,372,1222,407,228,141,421,576,108.3685322,103.5286871,68.87272727,2272.8
284,Southern Indiana,32,16,16,0.5,-8.27,-7.34,9,9,10,4,5,11,2448,2370,1295,849,1947,0.436,314,832,0.377,436,642,0.679,396,1247,414,233,76,431,587,109.3442916,105.8602823,69.9625,2238.8
285,Southern Methodist,32,10,22,0.313,0.3,5.61,5,13,7,9,1,11,2248,2418,1300,810,1919,0.422,201,646,0.311,427,634,0.674,335,1118,436,226,108,413,556,99.88447525,107.4380165,70.33125,2250.6
286,Southern Mississippi,32,25,7,0.781,4.24,-1.76,14,4,15,0,8,6,2376,2094,1280,859,1876,0.458,222,682,0.326,436,613,0.711,355,1171,468,267,85,379,530,110.7589036,97.61327615,67.0375,2145.2
287,Southern Utah,34,22,12,0.647,3.76,2.16,12,6,13,2,5,8,2812,2529,1380,972,2081,0.467,277,799,0.347,591,809,0.731,361,1290,443,252,112,447,638,112.904521,101.5417972,73.25294118,2490.6
288,St. Bonaventure,32,14,18,0.438,-1.11,-0.2,8,10,11,4,2,11,2136,2165,1290,769,1794,0.429,226,650,0.348,372,529,0.703,301,1048,380,224,108,405,596,101.2514221,102.6260903,65.925,2109.6
289,St. Francis (NY),30,14,16,0.467,-17.02,-11.7,7,9,10,5,4,11,1946,2034,1205,688,1701,0.404,204,577,0.354,366,524,0.698,342,1016,369,223,144,414,460,98.15393927,102.5925552,66.08666667,1982.6
290,St. John's (NY),33,18,15,0.545,8.56,6.41,7,13,12,6,3,9,2552,2481,1340,970,2159,0.449,193,583,0.331,419,599,0.699,433,1324,500,272,123,462,535,105.1244027,102.1997034,73.56363636,2427.6
291,St. Thomas,33,19,14,0.576,-2.72,-4.27,9,9,12,2,4,11,2447,2316,1320,847,1895,0.447,297,844,0.352,456,581,0.785,272,1052,426,196,77,327,574,112.1242669,106.1217009,66.13333333,2182.4
292,Stanford,33,14,19,0.424,10.01,8.04,7,13,9,6,2,8,2321,2256,1320,838,1853,0.452,267,736,0.363,378,545,0.694,342,1137,490,188,106,413,557,108.356676,105.3221289,64.90909091,2142
293,Stephen F. Austin,32,19,13,0.594,0.91,-0.5,11,7,12,4,6,5,2427,2238,1305,867,1834,0.473,203,532,0.382,490,684,0.716,342,1102,482,284,83,493,685,107.4559462,99.08793058,70.58125,2258.6
294,Stetson,30,17,13,0.567,-2.53,-2.53,12,6,9,3,7,9,2298,2200,1225,829,1783,0.465,303,778,0.389,337,436,0.773,299,1028,418,153,96,314,461,116.5078077,111.5392415,65.74666667,1972.4
295,Stonehill,31,14,17,0.452,-13.25,-8.98,10,6,7,4,6,12,2076,2157,1255,720,1633,0.441,239,677,0.353,397,524,0.758,194,963,380,219,88,417,468,100.5034857,104.4248644,66.63225806,2065.6
296,Stony Brook,33,11,22,0.333,-12.44,-4.12,6,12,7,7,3,13,2083,2279,1325,726,1756,0.413,256,794,0.322,375,504,0.744,252,1119,389,144,83,413,499,98.31964505,107.5710375,64.2,2118.6
297,Syracuse,32,17,15,0.531,5.37,4.15,10,10,11,7,5,6,2372,2333,1290,871,1883,0.463,198,547,0.362,432,577,0.749,324,1113,459,241,161,373,427,109.6726466,107.8694285,67.5875,2162.8
298,Tarleton State,33,17,16,0.515,-0.45,2.03,8,9,12,2,2,12,2376,2236,1325,823,1814,0.454,158,467,0.338,572,817,0.7,314,1048,427,321,93,409,677,106.2706861,100.0089453,67.75151515,2235.8
299,TCU NCAA,33,21,12,0.636,16.23,8.96,9,9,13,4,3,7,2481,2241,1325,913,1999,0.457,180,588,0.306,475,678,0.701,378,1180,535,272,156,402,534,108.1422718,97.68110888,69.52121212,2294.2
300,Temple,32,16,16,0.5,4.96,5.58,10,8,9,7,6,6,2227,2247,1305,754,1774,0.425,255,773,0.33,464,613,0.757,311,1126,441,159,128,434,538,103.9585473,104.8921669,66.94375,2142.2
301,Tennessee NCAA,33,23,10,0.697,21.9,8.15,11,7,14,2,4,6,2369,1915,1325,843,1931,0.437,257,780,0.329,426,597,0.714,429,1278,558,273,120,398,553,110.7630447,89.53618852,64.81212121,2138.8
302,Tennessee State,32,18,14,0.563,-8.82,-8.75,10,8,13,4,4,8,2499,2401,1281,868,1935,0.449,281,804,0.35,482,694,0.695,336,1164,427,187,105,403,654,109.6244955,105.3254957,71.2375,2279.6
303,Tennessee Tech,33,16,17,0.485,-9.22,-6.19,11,7,11,5,4,11,2432,2421,1355,860,1967,0.437,302,829,0.364,410,570,0.719,310,1159,476,207,80,416,527,105.6931769,105.2151239,69.72727273,2301
304,Tennessee-Martin,33,19,14,0.576,-8.5,-7.74,10,8,14,2,4,11,2658,2489,1335,945,2058,0.459,255,771,0.331,513,711,0.722,346,1293,450,249,114,394,603,111.1947791,104.1248327,72.43636364,2390.4
305,Texas NCAA,34,26,8,0.765,21.28,10.84,12,6,17,1,4,6,2647,2292,1375,959,2049,0.468,243,717,0.339,486,646,0.752,332,1168,548,274,125,398,599,111.5277661,96.57032106,69.80588235,2373.4
306,Texas A&M NCAA,34,25,9,0.735,14.8,7.77,15,3,15,1,7,4,2490,2251,1360,815,1873,0.435,207,632,0.328,653,860,0.759,418,1252,430,232,80,420,622,112.2127084,101.442091,65.26470588,2219
307,Texas A&M-Commerce,32,13,19,0.406,-10.77,-7.21,9,9,5,6,7,12,2299,2355,1305,836,1839,0.455,269,842,0.319,358,508,0.705,295,1031,458,184,97,408,601,106.6722346,109.2706013,67.35,2155.2
308,Texas A&M-Corpus Christi NCAA,33,23,10,0.697,-2.35,-7.7,14,4,14,2,7,7,2653,2394,1330,923,2020,0.457,257,698,0.368,550,696,0.79,393,1217,518,289,56,428,629,113.6967515,102.5970687,70.70909091,2333.4
309,Texas Southern NCAA,34,14,20,0.412,-9.5,-4.53,7,11,7,6,3,13,2361,2434,1390,868,2033,0.427,162,571,0.284,463,700,0.661,395,1282,396,227,116,497,633,97.76397516,100.7867495,71.02941176,2415
310,Texas State,35,16,19,0.457,-2.08,-0.46,6,12,4,10,7,7,2309,2334,1400,848,1918,0.442,154,501,0.307,459,630,0.729,359,1143,346,220,124,411,630,103.9153915,105.0405041,63.48571429,2222
311,Texas Tech,32,16,16,0.5,13.08,8.74,5,13,11,6,3,7,2347,2208,1290,831,1810,0.459,230,666,0.345,455,630,0.722,334,1125,413,234,93,441,494,108.2065468,101.7980636,67.78125,2169
312,Texas-Rio Grande Valley,32,15,17,0.469,-6.21,-0.28,5,12,12,6,3,10,2518,2502,1290,868,1852,0.469,222,655,0.339,560,802,0.698,345,1211,505,151,104,514,641,107.5241267,106.8408916,73.18125,2341.8
313,The Citadel,32,10,22,0.313,-11.98,-3.63,5,13,5,9,4,11,2158,2374,1280,771,1786,0.432,228,702,0.325,388,514,0.755,234,1015,365,176,85,393,539,100.34409,110.3877988,67.20625,2150.6
314,Toledo,35,28,7,0.8,6.59,-1.93,16,2,13,1,10,4,3002,2686,1400,1059,2129,0.497,299,754,0.397,585,759,0.771,352,1198,522,242,103,351,567,123.4578056,110.4622471,69.47428571,2431.6
315,Towson,33,21,12,0.636,0.28,-4.75,12,6,10,2,8,7,2368,2202,1335,860,1922,0.447,243,663,0.367,405,572,0.708,407,1232,461,205,113,404,538,110.2523512,102.5235124,65.08484848,2147.8
316,Troy,33,20,13,0.606,1.62,-1.01,11,7,11,3,7,8,2414,2204,1330,858,1945,0.441,255,798,0.32,443,632,0.701,362,1151,447,288,86,424,559,106.8236127,97.53075493,68.47878788,2259.8
317,Tulane,31,20,11,0.645,5.82,3.05,12,6,12,3,5,4,2478,2392,1260,861,1873,0.46,241,713,0.338,515,663,0.777,211,1037,485,262,130,351,511,108.7700816,104.9951716,73.49032258,2278.2
318,Tulsa,30,5,25,0.167,-8.07,4.06,1,17,4,10,0,12,1959,2323,1210,715,1733,0.413,230,735,0.313,299,463,0.646,271,958,348,164,45,397,464,95.83211036,113.6385872,68.14,2044.2
319,UAB,35,25,10,0.714,9.78,1.11,14,6,15,2,6,5,2853,2501,1440,1004,2207,0.455,255,710,0.359,590,801,0.737,470,1417,508,288,151,451,616,113.7378409,99.70499123,71.66857143,2508.4
320,UC Davis,32,18,14,0.563,0.1,-1.34,11,8,10,4,5,9,2392,2274,1295,809,1820,0.445,214,630,0.34,560,790,0.709,377,1186,389,227,90,471,600,107.264574,101.9730942,69.6875,2230
321,UC Irvine,34,23,11,0.676,5.07,-0.65,15,5,11,4,9,6,2559,2268,1365,945,2002,0.472,243,633,0.384,426,592,0.72,321,1252,506,236,82,420,644,109.4618872,97.01428694,68.75882353,2337.8
322,UC Riverside,34,22,12,0.647,1.14,0.08,14,6,9,4,9,7,2463,2352,1380,906,2047,0.443,284,784,0.362,367,526,0.698,390,1251,450,175,61,417,629,107.8182455,102.9592015,67.18823529,2284.4
323,UC San Diego,30,10,20,0.333,-6.51,-0.33,5,13,4,10,6,9,2057,2189,1230,740,1720,0.43,228,695,0.328,349,472,0.739,249,1004,359,174,67,362,482,101.7410229,108.2698585,67.39333333,2021.8
324,UC Santa Barbara NCAA,34,27,7,0.794,3.87,-2.19,15,5,12,3,10,4,2454,2231,1365,901,1826,0.493,190,539,0.353,462,635,0.728,275,1090,483,219,86,383,547,112.1572212,101.9652651,64.35294118,2188
325,UCLA NCAA,34,29,5,0.853,22.55,8.93,18,2,17,0,9,2,2513,2050,1360,949,2071,0.458,209,602,0.347,406,562,0.722,394,1213,483,287,131,349,533,111.6491914,91.07872756,66.2,2250.8
326,UNC Asheville NCAA,34,27,7,0.794,-1.47,-5.19,16,2,13,0,10,6,2551,2332,1380,878,1839,0.477,268,687,0.39,527,759,0.694,287,1194,437,216,136,480,527,109.2224696,99.84586402,68.69411765,2335.6
327,UNC Greensboro,32,20,12,0.625,1.71,-2.86,14,4,11,3,8,6,2306,2064,1291,816,1831,0.446,254,718,0.354,420,587,0.716,330,1180,465,228,83,376,535,109.1959466,97.73652808,65.99375,2111.8
328,UNC Wilmington,34,24,10,0.706,-1.2,-3.08,12,6,11,3,8,6,2343,2187,1375,813,1832,0.444,209,624,0.335,508,697,0.729,324,1130,365,230,95,408,624,106.7523237,99.64461454,64.55294118,2194.8
329,UT Arlington,32,11,21,0.344,-4.79,2.32,6,12,6,8,4,9,2125,2190,1285,772,1863,0.414,207,643,0.322,374,570,0.656,407,1148,432,204,96,443,619,99.90597085,102.9619182,66.46875,2127
330,Utah,32,17,15,0.531,11.73,6.91,10,10,12,5,4,7,2197,2043,1285,791,1852,0.427,232,698,0.332,383,541,0.708,357,1254,462,161,126,384,487,104.8487162,97.49928415,65.48125,2095.4
331,Utah State NCAA,34,26,8,0.765,15.23,7.26,13,5,14,2,6,4,2671,2370,1365,919,1916,0.48,321,816,0.393,512,670,0.764,291,1210,573,170,115,411,578,115.9288194,102.8645833,67.76470588,2304
332,Utah Tech,33,14,19,0.424,0.12,1.29,5,13,9,5,3,13,2495,2420,1330,828,1802,0.459,285,749,0.381,554,787,0.704,321,1125,434,219,74,497,647,108.8189114,105.5478018,69.47878788,2292.8
333,Utah Valley,33,25,8,0.758,7.24,0.87,15,3,13,1,10,5,2541,2251,1335,899,1940,0.463,216,656,0.329,527,711,0.741,336,1315,531,218,225,457,592,108.3397288,95.9751002,71.07272727,2345.4
334,UTEP,32,14,18,0.438,-1.04,1.52,7,13,11,7,3,10,2192,2192,1315,796,1776,0.448,158,537,0.294,442,699,0.632,373,1122,385,288,85,505,576,100.2011337,100.2011337,68.3625,2187.6
335,UTSA,32,10,22,0.313,-8.04,0.86,4,16,8,10,2,11,2217,2450,1291,749,1826,0.41,235,703,0.334,484,659,0.734,341,1132,334,137,81,439,563,101.3439386,111.9948802,68.3625,2187.6
336,Valparaiso,32,11,21,0.344,-8.27,-2.3,5,15,8,7,2,12,2206,2355,1310,814,1852,0.44,198,668,0.296,380,522,0.728,251,1087,436,187,83,406,530,99.55772182,106.2821554,69.24375,2215.8
337,Vanderbilt,34,20,14,0.588,9.3,8.89,11,7,12,5,5,6,2465,2451,1370,858,2002,0.429,289,845,0.342,460,646,0.712,382,1230,402,169,153,368,558,109.7311254,109.107906,66.07058824,2246.4
338,Vermont NCAA,33,23,10,0.697,1.73,-3.71,14,2,13,1,9,6,2410,2198,1337,878,1848,0.475,284,791,0.359,370,531,0.697,215,1035,450,197,97,308,490,111.9160398,102.0711433,65.25454545,2153.4
339,Villanova,32,17,15,0.531,10.77,8.65,10,10,10,4,5,8,2250,2168,1285,763,1733,0.44,285,831,0.343,439,531,0.827,226,1009,361,178,54,323,507,110.1645123,106.1496279,63.825,2042.4
340,Virginia NCAA,32,25,7,0.781,13.65,6.09,15,5,15,1,6,5,2170,1928,1285,769,1711,0.449,218,617,0.353,414,591,0.701,264,1025,506,221,135,274,458,110.8613467,98.49800756,61.16875,1957.4
341,Virginia Commonwealth NCAA,34,27,7,0.794,10.15,1.62,15,3,15,3,8,3,2429,2139,1360,846,1818,0.465,207,596,0.347,530,760,0.697,315,1132,449,304,155,454,555,107.4303406,94.60415745,66.5,2261
342,VMI,32,7,25,0.219,-16.14,-3.45,2,16,6,8,1,14,2220,2457,1290,800,1923,0.416,309,880,0.351,311,406,0.766,349,1131,365,172,37,411,484,103.3808326,114.417435,67.10625,2147.4
343,Virginia Tech,33,19,14,0.576,9.55,5.1,8,12,13,4,2,9,2449,2302,1325,901,1917,0.47,275,760,0.362,372,506,0.735,281,1102,513,174,106,328,511,113.0446824,106.2592319,65.64848485,2166.4
344,Wagner,28,15,13,0.536,-12.24,-11.28,8,8,8,4,7,9,1766,1727,1130,655,1627,0.403,181,583,0.31,275,403,0.682,360,1005,339,189,49,335,540,100.1588022,97.9469147,62.97142857,1763.2
345,Wake Forest,33,19,14,0.576,8.22,5.4,10,10,13,3,4,8,2528,2435,1330,878,1909,0.46,315,866,0.364,457,613,0.746,275,1129,444,199,90,399,528,110.9647968,106.8826266,69.03636364,2278.2
346,Washington,32,16,16,0.5,7.25,8.4,8,12,12,6,2,9,2213,2250,1300,786,1823,0.431,209,668,0.313,432,577,0.749,286,1083,368,220,165,448,529,99.8736348,101.5434606,69.24375,2215.8
347,Washington State,33,17,16,0.515,11.35,8.44,11,9,10,3,5,8,2250,2154,1325,789,1859,0.424,296,802,0.369,376,524,0.718,361,1154,391,157,90,397,527,106.9086762,102.3472394,63.77575758,2104.6
348,Weber State,33,18,15,0.545,-2.65,-1.04,12,6,8,4,8,8,2219,2229,1345,779,1727,0.451,218,647,0.337,443,578,0.766,218,1032,351,200,47,422,580,102.626954,103.0894459,65.52121212,2162.2
349,West Virginia NCAA,33,19,14,0.576,16.51,11.23,7,11,13,4,3,8,2518,2344,1325,860,1897,0.453,240,689,0.348,558,753,0.741,367,1117,435,221,102,428,608,111.4553824,103.7535411,68.46060606,2259.2
350,Western Carolina,33,18,15,0.545,-6.22,-4.18,10,8,9,5,6,9,2457,2340,1345,846,1962,0.431,286,829,0.345,479,667,0.718,330,1224,419,179,86,355,571,109.0158843,103.8246517,68.2969697,2253.8
351,Western Illinois,30,16,14,0.533,-7.15,-4.3,9,9,11,4,5,9,2191,2171,1205,795,1755,0.453,209,652,0.321,392,560,0.7,284,1034,410,174,107,322,434,108.6266733,107.6351016,67.23333333,2017
352,Western Kentucky,33,17,16,0.515,-1.17,0.74,8,12,9,5,5,9,2355,2330,1330,839,1907,0.44,249,695,0.358,428,601,0.712,300,1152,416,204,173,383,489,105.5864419,104.4655667,67.58787879,2230.4
353,Western Michigan,31,8,23,0.258,-10.18,-1.97,4,14,7,7,1,15,2166,2295,1240,786,1820,0.432,250,757,0.33,344,482,0.714,379,1146,396,143,68,395,522,106.7626183,113.1210568,65.44516129,2028.8
