Rk,School_trim,Games,Wins,Losses,Win%,SimpleRatingSystem,StrengthOfSchedule,W_conf,L_conf,W_home,L_home,W_away,L_away,Points_made,Points_allowed.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OER,DER,PosPG,TotPos
160,Manhattan,30,12,18,0.4,-9.91,-4.98,10,10,5,9,6,7,2016,2112,1225,733,1682,0.436,205,616,0.333,343,520,0.66,274,952,370,227,105,406,492,99.70326409,104.4510386,67.4,2022
161,Marist,33,13,20,0.394,-8.45,-5.69,6,14,5,10,4,9,2110,2201,1325,745,1819,0.41,253,771,0.328,367,526,0.698,294,1131,357,195,124,392,509,99.18210022,103.4596221,64.46666667,2127.4
162,Marquette NCAA,34,28,6,0.824,17.27,7.91,17,3,17,1,8,4,2718,2400,1380,1007,2066,0.487,301,865,0.348,403,559,0.721,303,1084,598,320,107,365,553,115.5808811,102.0581732,69.16470588,2351.6
163,Marshall,32,24,8,0.75,7.37,-2.6,13,5,15,2,9,5,2616,2281,1295,986,2120,0.465,264,781,0.338,380,548,0.693,395,1247,561,288,169,372,526,112.9436145,98.48026941,72.38125,2316.2
164,Maryland NCAA,33,21,12,0.636,15.08,7.86,11,9,16,1,2,9,2322,2084,1325,820,1826,0.449,226,684,0.33,456,617,0.739,324,1114,380,177,121,347,523,110.7930146,99.43696918,63.50909091,2095.8
165,Maryland-Baltimore County,32,18,14,0.563,-6.3,-7.04,8,8,13,4,5,10,2378,2328,1285,869,1931,0.45,257,754,0.341,383,511,0.75,297,1093,456,180,81,323,467,110.0212825,107.7079671,67.54375,2161.4
166,Maryland-Eastern Shore,31,18,13,0.581,-7.53,-5.38,9,5,10,3,7,9,2162,2054,1245,776,1812,0.428,229,720,0.318,381,530,0.719,305,988,417,345,59,454,515,99.49378739,94.52369995,70.09677419,2173
167,Massachusetts,31,15,16,0.484,-1.24,0.41,6,12,8,6,3,8,2163,2214,1240,775,1868,0.415,182,555,0.328,431,602,0.716,404,1187,423,211,119,443,541,100.7077009,103.0822237,69.28387097,2147.8
168,Massachusetts-Lowell,34,26,8,0.765,0.53,-8.63,11,5,17,0,9,8,2653,2243,1365,965,1995,0.484,236,619,0.381,487,662,0.736,406,1314,486,237,164,466,572,114.3633072,96.68936977,68.22941176,2319.8
169,McNeese State,34,11,23,0.324,-13.22,-5.07,6,12,6,8,5,15,2352,2565,1375,858,1991,0.431,258,793,0.325,378,571,0.662,422,1198,385,246,61,499,655,102.421181,111.6965685,67.54117647,2296.4
170,Memphis NCAA,34,26,8,0.765,14.96,7.1,13,5,13,2,7,5,2713,2446,1375,979,2038,0.48,209,587,0.356,546,731,0.747,351,1220,535,295,155,459,625,111.2614829,100.3116798,71.71764706,2438.4
171,Mercer,33,14,19,0.424,-5.01,-3.88,6,12,7,7,4,10,2268,2211,1335,851,1885,0.451,196,586,0.334,370,536,0.69,342,1144,422,185,71,385,592,105.862584,103.2020164,64.92121212,2142.4
172,Merrimack,34,18,16,0.529,-11.57,-9.51,12,4,10,6,8,8,2128,2119,1360,732,1745,0.419,251,768,0.327,413,599,0.689,229,974,429,380,139,479,482,95.22957129,94.82681464,65.72352941,2234.6
173,Miami (FL) NCAA,32,25,7,0.781,12.42,5.14,15,5,16,1,7,4,2541,2308,1285,927,1908,0.486,243,661,0.368,444,572,0.776,331,1106,478,235,105,363,461,117.161564,106.4182958,67.775,2168.8
174,Miami (OH),32,12,20,0.375,-7.04,-2.01,6,12,9,9,3,9,2357,2385,1285,830,1817,0.457,250,736,0.34,447,568,0.787,287,1022,440,195,94,436,583,107.4685391,108.7452125,68.5375,2193.2
175,Michigan,32,17,15,0.531,12.58,8.91,11,9,13,4,3,7,2339,2221,1310,843,1886,0.447,245,709,0.346,408,580,0.703,284,1170,390,154,151,327,497,108.2369273,102.7764924,67.53125,2161
176,Michigan State NCAA,31,19,12,0.613,14.04,11.2,11,8,12,2,5,7,2177,2089,1255,798,1773,0.45,232,587,0.395,349,458,0.762,276,1106,460,142,90,337,512,107.9218719,103.5593893,65.07096774,2017.2
177,Middle Tennessee,33,19,14,0.576,2.62,1.75,11,9,12,2,3,11,2313,2236,1330,857,1892,0.453,228,674,0.338,371,543,0.683,366,1109,356,249,159,439,579,105.9939511,102.4654019,66.12727273,2182.2
178,Milwaukee,32,21,11,0.656,-4.52,-4,14,6,15,3,6,7,2507,2363,1300,891,1936,0.46,256,727,0.352,469,641,0.732,382,1251,453,224,179,486,575,109.1708762,102.9001916,71.7625,2296.4
179,Minnesota,31,9,22,0.29,0.02,8.18,2,17,6,11,1,9,1949,2202,1250,720,1664,0.433,192,591,0.325,317,512,0.619,262,1017,454,143,124,401,482,97.07142146,109.6722781,64.76774194,2007.8
180,Mississippi,33,12,21,0.364,6.22,7.79,3,15,7,10,2,9,2227,2279,1330,816,1933,0.422,203,671,0.303,392,564,0.695,396,1180,432,235,123,402,525,102.8827497,105.2850411,65.59393939,2164.6
181,Mississippi State NCAA,33,21,12,0.636,12.04,7.13,8,10,12,4,4,6,2175,2013,1340,792,1873,0.423,172,646,0.266,419,648,0.647,422,1239,468,292,113,420,499,102.1030889,94.49816919,64.55151515,2130.2
182,Mississippi Valley State,32,5,27,0.156,-17.84,-4.12,4,14,4,6,1,19,1953,2392,1290,683,1681,0.406,162,464,0.349,425,639,0.665,316,1027,321,243,65,518,573,91.32142523,111.8488731,66.83125,2138.6
183,Missouri NCAA,33,24,9,0.727,12.18,7.27,11,7,16,3,5,5,2623,2461,1330,936,1978,0.473,309,857,0.361,442,583,0.758,299,1001,532,341,89,373,598,114.782076,107.6929809,69.24848485,2285.2
184,Missouri State,32,17,15,0.531,0.82,-0.53,12,8,10,4,5,8,2098,2021,1295,772,1776,0.435,254,767,0.331,300,479,0.626,363,1124,374,199,140,393,497,105.0260312,101.1714057,62.425,1997.6
185,Monmouth,33,7,26,0.212,-15.66,-2.63,5,13,3,10,3,15,2036,2466,1320,746,1856,0.402,134,466,0.288,410,615,0.667,365,1088,395,278,83,476,635,92.0018075,111.4324446,67.06060606,2213
186,Montana,31,17,14,0.548,-0.85,-1.55,10,7,9,4,6,9,2147,2114,1245,762,1650,0.462,244,656,0.372,379,481,0.788,229,942,378,146,74,347,560,109.5184656,107.8351357,63.23870968,1960.4
187,Montana State NCAA,34,25,9,0.735,2.36,-1.74,15,3,12,1,10,5,2523,2265,1370,854,1822,0.469,210,621,0.338,605,797,0.759,283,1127,424,221,101,399,628,111.7954626,100.3633463,66.37647059,2256.8
188,Morehead State,32,21,11,0.656,-7.61,-5.93,14,4,14,2,7,8,2247,2125,1285,779,1767,0.441,236,664,0.355,453,630,0.719,310,1142,442,185,126,389,507,107.1020019,101.2869399,65.5625,2098
189,Morgan State,31,15,16,0.484,-11.47,-5.99,8,7,10,2,3,12,2323,2242,1255,863,1911,0.452,206,559,0.369,391,568,0.688,362,1074,479,303,138,500,647,102.0560583,98.49749583,73.42580645,2276.2
190,Mount St. Mary's,33,13,20,0.394,-8.04,-3.89,8,12,5,9,7,10,2101,2212,1330,771,1818,0.424,220,622,0.354,339,463,0.732,308,1110,410,182,82,450,540,97.93958605,103.1139288,65.00606061,2145.2
191,Murray State,32,17,15,0.531,-4.01,-1.17,11,9,11,2,3,11,2254,2305,1296,805,1824,0.441,197,593,0.332,447,607,0.736,301,1111,391,174,83,349,467,106.5821827,108.9937583,66.0875,2114.8
192,Navy,31,18,13,0.581,-2.83,-6.17,11,7,9,6,9,7,2152,2013,1250,808,1781,0.454,240,647,0.371,296,419,0.706,310,1068,459,215,85,355,494,107.9454254,100.973114,64.30967742,1993.6
193,NC State NCAA,33,23,10,0.697,12.61,5.22,12,8,15,2,4,6,2580,2336,1325,958,2117,0.453,278,796,0.349,386,536,0.72,376,1209,431,262,151,314,574,113.6864369,102.9346964,68.76969697,2269.4
